wsi file name,xml file name,x,y,Tissue percentage,Percentage of cancerous pixels,Tag of the patch
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34409,17534,0.8291053771972656,0.20041656494140625,file_training-tumor-tumor_103.tif_reg_0_row_0_patch_0_x_34409_y_17534_tissue_0.8291053771972656_metastatic_0.20041656494140625_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34921,17534,0.7208709716796875,0.24573135375976562,file_training-tumor-tumor_103.tif_reg_0_row_0_patch_1_x_34921_y_17534_tissue_0.7208709716796875_metastatic_0.24573135375976562_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35433,17534,0.5236587524414062,0.23620223999023438,file_training-tumor-tumor_103.tif_reg_0_row_0_patch_2_x_35433_y_17534_tissue_0.5236587524414062_metastatic_0.23620223999023438_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34621,18046,0.6233062744140625,0.20063400268554688,file_training-tumor-tumor_103.tif_reg_0_row_1_patch_0_x_34621_y_18046_tissue_0.6233062744140625_metastatic_0.20063400268554688_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35133,18046,0.6774368286132812,0.5479164123535156,file_training-tumor-tumor_103.tif_reg_0_row_1_patch_1_x_35133_y_18046_tissue_0.6774368286132812_metastatic_0.5479164123535156_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35645,18046,0.6626358032226562,0.5370063781738281,file_training-tumor-tumor_103.tif_reg_0_row_1_patch_2_x_35645_y_18046_tissue_0.6626358032226562_metastatic_0.5370063781738281_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35707,18558,0.6045341491699219,0.20011520385742188,file_training-tumor-tumor_103.tif_reg_0_row_2_patch_0_x_35707_y_18558_tissue_0.6045341491699219_metastatic_0.20011520385742188_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,36219,18558,0.612762451171875,0.4864616394042969,file_training-tumor-tumor_103.tif_reg_0_row_2_patch_1_x_36219_y_18558_tissue_0.612762451171875_metastatic_0.4864616394042969_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,36145,19070,0.6293525695800781,0.201080322265625,file_training-tumor-tumor_103.tif_reg_0_row_3_patch_0_x_36145_y_19070_tissue_0.6293525695800781_metastatic_0.201080322265625_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,36447,19582,0.5856399536132812,0.201141357421875,file_training-tumor-tumor_103.tif_reg_0_row_4_patch_0_x_36447_y_19582_tissue_0.5856399536132812_metastatic_0.201141357421875_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,36647,20094,0.6254920959472656,0.20055007934570312,file_training-tumor-tumor_103.tif_reg_0_row_5_patch_0_x_36647_y_20094_tissue_0.6254920959472656_metastatic_0.20055007934570312_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,36895,20606,0.6403884887695312,0.20044326782226562,file_training-tumor-tumor_103.tif_reg_0_row_6_patch_0_x_36895_y_20606_tissue_0.6403884887695312_metastatic_0.20044326782226562_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35521,26266,0.5711631774902344,0.20040512084960938,file_training-tumor-tumor_103.tif_reg_1_row_0_patch_0_x_35521_y_26266_tissue_0.5711631774902344_metastatic_0.20040512084960938_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35166,26778,0.6480979919433594,0.20088577270507812,file_training-tumor-tumor_103.tif_reg_1_row_1_patch_0_x_35166_y_26778_tissue_0.6480979919433594_metastatic_0.20088577270507812_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35678,26778,0.6830558776855469,0.45389556884765625,file_training-tumor-tumor_103.tif_reg_1_row_1_patch_1_x_35678_y_26778_tissue_0.6830558776855469_metastatic_0.45389556884765625_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34923,27290,0.7071685791015625,0.20048141479492188,file_training-tumor-tumor_103.tif_reg_1_row_2_patch_0_x_34923_y_27290_tissue_0.7071685791015625_metastatic_0.20048141479492188_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35435,27290,0.8104972839355469,0.7272872924804688,file_training-tumor-tumor_103.tif_reg_1_row_2_patch_1_x_35435_y_27290_tissue_0.8104972839355469_metastatic_0.7272872924804688_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34378,27802,0.5148849487304688,0.20042037963867188,file_training-tumor-tumor_103.tif_reg_1_row_3_patch_0_x_34378_y_27802_tissue_0.5148849487304688_metastatic_0.20042037963867188_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34890,27802,0.791229248046875,0.6512222290039062,file_training-tumor-tumor_103.tif_reg_1_row_3_patch_1_x_34890_y_27802_tissue_0.791229248046875_metastatic_0.6512222290039062_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,35402,27802,0.8330230712890625,0.5781097412109375,file_training-tumor-tumor_103.tif_reg_1_row_3_patch_2_x_35402_y_27802_tissue_0.8330230712890625_metastatic_0.5781097412109375_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34175,28314,0.6011161804199219,0.20032501220703125,file_training-tumor-tumor_103.tif_reg_1_row_4_patch_0_x_34175_y_28314_tissue_0.6011161804199219_metastatic_0.20032501220703125_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,34687,28314,0.8131103515625,0.27182769775390625,file_training-tumor-tumor_103.tif_reg_1_row_4_patch_1_x_34687_y_28314_tissue_0.8131103515625_metastatic_0.27182769775390625_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,115189,34326,0.677032470703125,0.20033645629882812,file_training-tumor-tumor_103.tif_reg_2_row_0_patch_0_x_115189_y_34326_tissue_0.677032470703125_metastatic_0.20033645629882812_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,115701,34326,0.8192253112792969,0.5791435241699219,file_training-tumor-tumor_103.tif_reg_2_row_0_patch_1_x_115701_y_34326_tissue_0.8192253112792969_metastatic_0.5791435241699219_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,114761,34838,0.5589370727539062,0.20002365112304688,file_training-tumor-tumor_103.tif_reg_2_row_1_patch_0_x_114761_y_34838_tissue_0.5589370727539062_metastatic_0.20002365112304688_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,116168,24224,0.6545295715332031,0.20055007934570312,file_training-tumor-tumor_103.tif_reg_3_row_0_patch_0_x_116168_y_24224_tissue_0.6545295715332031_metastatic_0.20055007934570312_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,115799,24736,0.6503715515136719,0.20015716552734375,file_training-tumor-tumor_103.tif_reg_3_row_1_patch_0_x_115799_y_24736_tissue_0.6503715515136719_metastatic_0.20015716552734375_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,116311,24736,0.6617584228515625,0.5944061279296875,file_training-tumor-tumor_103.tif_reg_3_row_1_patch_1_x_116311_y_24736_tissue_0.6617584228515625_metastatic_0.5944061279296875_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,116823,24736,0.6602363586425781,0.6684303283691406,file_training-tumor-tumor_103.tif_reg_3_row_1_patch_2_x_116823_y_24736_tissue_0.6602363586425781_metastatic_0.6684303283691406_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,116725,25248,0.5748558044433594,0.20063400268554688,file_training-tumor-tumor_103.tif_reg_3_row_2_patch_0_x_116725_y_25248_tissue_0.5748558044433594_metastatic_0.20063400268554688_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,117237,25248,0.6662330627441406,0.6851730346679688,file_training-tumor-tumor_103.tif_reg_3_row_2_patch_1_x_117237_y_25248_tissue_0.6662330627441406_metastatic_0.6851730346679688_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,117244,25760,0.595947265625,0.20036697387695312,file_training-tumor-tumor_103.tif_reg_3_row_3_patch_0_x_117244_y_25760_tissue_0.595947265625_metastatic_0.20036697387695312_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,117578,26272,0.5244407653808594,0.20024871826171875,file_training-tumor-tumor_103.tif_reg_3_row_4_patch_0_x_117578_y_26272_tissue_0.5244407653808594_metastatic_0.20024871826171875_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,117697,26784,0.5520057678222656,0.20059585571289062,file_training-tumor-tumor_103.tif_reg_3_row_5_patch_0_x_117697_y_26784_tissue_0.5520057678222656_metastatic_0.20059585571289062_w_512_h_512
training/tumor/tumor_103.tif,training/lesion_annotations/tumor_103.xml,117869,27296,0.5947837829589844,0.20008468627929688,file_training-tumor-tumor_103.tif_reg_3_row_6_patch_0_x_117869_y_27296_tissue_0.5947837829589844_metastatic_0.20008468627929688_w_512_h_512
